RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Index Right	Pupil Diameter Right [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Right	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
950834.4	13:28:56:964	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	201.7	658.5	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950838.8	13:28:56:969	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	201.3	657.9	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950842.4	13:28:56:972	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	203.0	656.1	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950846.4	13:28:56:976	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	203.5	654.0	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950850.4	13:28:56:980	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	205.6	655.5	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950854.4	13:28:56:984	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	207.3	654.4	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950858.4	13:28:56:988	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	208.9	655.0	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950862.4	13:28:56:992	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	211.1	655.5	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950866.4	13:28:56:996	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	212.2	656.6	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950870.4	13:28:57:000	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	213.5	655.6	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950874.4	13:28:57:004	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	215.4	655.8	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950878.4	13:28:57:008	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	217.0	655.8	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950882.4	13:28:57:012	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	218.3	656.5	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950886.4	13:28:57:016	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	218.8	656.9	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950890.4	13:28:57:020	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	219.9	658.2	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950894.4	13:28:57:024	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	219.9	658.3	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950898.4	13:28:57:028	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	220.1	659.6	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950902.4	13:28:57:032	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	220.4	660.2	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950906.4	13:28:57:036	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	219.5	660.0	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950910.4	13:28:57:040	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.2	218.6	661.2	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950914.4	13:28:57:044	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.2	218.8	663.0	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950918.4	13:28:57:048	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.2	217.5	663.9	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950922.4	13:28:57:052	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.2	216.6	663.6	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950926.4	13:28:57:056	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.2	216.0	662.9	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950930.4	13:28:57:060	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.2	215.1	663.1	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950934.4	13:28:57:064	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.2	214.7	665.0	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950938.4	13:28:57:068	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.2	213.8	664.9	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950942.4	13:28:57:072	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.2	212.3	666.6	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950946.4	13:28:57:076	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.2	210.9	666.6	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950950.4	13:28:57:080	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	2	3.2	212.0	666.4	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950954.4	13:28:57:084	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	2	3.2	215.0	669.1	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950958.4	13:28:57:088	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	2	3.2	219.5	668.9	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950962.4	13:28:57:092	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	2	3.2	233.7	667.8	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950966.4	13:28:57:096	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	2	3.2	254.8	665.6	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950970.4	13:28:57:100	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	2	3.2	279.6	665.4	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950974.4	13:28:57:104	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	2	3.2	301.1	663.7	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
