// Data mode  : Full
// Transmission speed  : 100Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,84,2016/11/10 06:41:34.26,-10814,8125,-5525,-3162,-12555,16537,-19,-206,187,112
,85,2016/11/10 06:41:34.27,-10814,8125,-5525,-3162,-12555,16537,-19,-204,185,111
,86,2016/11/10 06:41:34.28,-10814,8125,-5525,-3162,-12555,16537,-30,-214,184,122
,87,2016/11/10 06:41:34.29,-10814,8125,-5525,-3162,-12555,16537,-26,-208,182,117
,88,2016/11/10 06:41:34.30,-10814,8125,-5525,-3162,-12555,16537,-30,-208,178,119
,89,2016/11/10 06:41:34.31,-10814,8125,-5525,-3162,-12555,16537,-26,-212,186,119
,90,2016/11/10 06:41:34.32,-10814,8125,-5525,-3162,-12555,16537,-23,-215,192,119
,91,2016/11/10 06:41:34.33,-10814,8125,-5525,-3162,-12555,16537,-21,-213,192,117
,92,2016/11/10 06:41:34.34,-10814,8125,-5525,-3162,-12555,16537,-19,-213,194,116
,93,2016/11/10 06:41:34.35,-10814,8125,-5525,-3162,-12555,16537,-28,-219,191,123
,94,2016/11/10 06:41:34.36,-10814,8125,-5525,-3162,-12555,16537,-23,-215,192,119
,95,2016/11/10 06:41:34.37,-10814,8125,-5525,-3162,-12555,16537,-31,-224,193,127
,96,2016/11/10 06:41:34.38,-10814,8125,-5525,-3162,-12555,16537,-38,-231,193,134
,97,2016/11/10 06:41:34.39,-10814,8125,-5525,-3162,-12555,16537,-29,-221,192,125
,98,2016/11/10 06:41:34.40,-10814,8125,-5525,-3162,-12555,16537,-40,-228,188,134
,99,2016/11/10 06:41:34.41,-10814,8125,-5525,-3162,-12555,16537,-32,-222,190,127
,100,2016/11/10 06:41:34.42,-10814,8125,-5525,-3162,-12555,16537,-26,-214,188,120
,101,2016/11/10 06:41:34.43,-10814,8125,-5525,-3162,-12555,16537,-34,-223,189,128
,102,2016/11/10 06:41:34.44,-10814,8125,-5525,-3162,-12555,16537,-29,-217,188,123
,103,2016/11/10 06:41:34.45,-10814,8125,-5525,-3162,-12555,16537,-28,-214,186,121
,104,2016/11/10 06:41:34.46,-10814,8125,-5525,-3162,-12555,16537,-29,-217,188,123
,105,2016/11/10 06:41:34.47,-10814,8125,-5525,-3162,-12555,16537,-30,-220,190,125
,106,2016/11/10 06:41:34.48,-10814,8125,-5525,-3162,-12555,16537,-31,-218,187,124
,107,2016/11/10 06:41:34.49,-10814,8125,-5525,-3162,-12555,16537,-30,-219,189,124
,108,2016/11/10 06:41:34.50,-10814,8125,-5525,-3162,-12555,16537,-34,-221,187,127
,109,2016/11/10 06:41:34.51,-10814,8125,-5525,-3162,-12555,16537,-24,-208,184,116
,110,2016/11/10 06:41:34.52,-10814,8125,-5525,-3162,-12555,16537,-32,-214,182,123
,111,2016/11/10 06:41:34.53,-10814,8125,-5525,-3162,-12555,16537,-36,-220,184,128
,112,2016/11/10 06:41:34.54,-10814,8125,-5525,-3162,-12555,16537,-22,-212,190,117
,113,2016/11/10 06:41:34.55,-10814,8125,-5525,-3162,-12555,16537,-32,-218,186,125
,114,2016/11/10 06:41:34.56,-10814,8125,-5525,-3162,-12555,16537,-27,-213,186,120
,115,2016/11/10 06:41:34.57,-10814,8125,-5525,-3162,-12555,16537,-26,-211,185,118
,116,2016/11/10 06:41:34.58,-10814,8125,-5525,-3162,-12555,16537,-30,-221,191,125
,117,2016/11/10 06:41:34.59,-10814,8125,-5525,-3162,-12555,16537,-25,-214,189,119
,118,2016/11/10 06:41:34.60,-10814,8125,-5525,-3162,-12555,16537,-28,-216,188,122
,119,2016/11/10 06:41:34.61,-10814,8125,-5525,-3162,-12555,16537,-28,-221,193,124
,120,2016/11/10 06:41:34.62,-10814,8125,-5525,-3162,-12555,16537,-30,-221,191,125
,121,2016/11/10 06:41:34.63,-10814,8125,-5525,-3162,-12555,16537,-28,-222,194,125
,122,2016/11/10 06:41:34.64,-10814,8125,-5525,-3162,-12555,16537,-31,-222,191,126
,123,2016/11/10 06:41:34.65,-10814,8125,-5525,-3162,-12555,16537,-42,-227,185,134
,124,2016/11/10 06:41:34.66,-10814,8125,-5525,-3162,-12555,16537,-33,-220,187,126
,125,2016/11/10 06:41:34.67,-10814,8125,-5525,-3162,-12555,16537,-38,-227,189,132
,126,2016/11/10 06:41:34.68,-10814,8125,-5525,-3162,-12555,16537,-37,-229,192,133
,127,2016/11/10 06:41:34.69,-10814,8125,-5525,-3162,-12555,16537,-27,-222,195,124
,128,2016/11/10 06:41:34.70,-10814,8125,-5525,-3162,-12555,16537,-39,-232,193,135
,129,2016/11/10 06:41:34.71,-10814,8125,-5525,-3162,-12555,16537,-35,-229,194,132
,130,2016/11/10 06:41:34.72,-10814,8125,-5525,-3162,-12555,16537,-28,-218,190,123
,131,2016/11/10 06:41:34.73,-10814,8125,-5525,-3162,-12555,16537,-30,-225,195,127
,132,2016/11/10 06:41:34.74,-10814,8125,-5525,-3162,-12555,16537,-22,-217,195,119
,133,2016/11/10 06:41:34.75,-10814,8125,-5525,-3162,-12555,16537,-29,-216,187,122
,134,2016/11/10 06:41:34.76,-10814,8125,-5525,-3162,-12555,16537,-26,-216,190,121
,135,2016/11/10 06:41:34.77,-10814,8125,-5525,-3162,-12555,16537,-25,-216,191,120
,136,2016/11/10 06:41:34.78,-10814,8125,-5525,-3162,-12555,16537,-19,-212,193,115
,137,2016/11/10 06:41:34.79,-10814,8125,-5525,-3162,-12555,16537,-19,-214,195,116
,138,2016/11/10 06:41:34.80,-10814,8125,-5525,-3162,-12555,16537,-24,-218,194,121
,139,2016/11/10 06:41:34.81,-10814,8125,-5525,-3162,-12555,16537,-18,-209,191,113
,140,2016/11/10 06:41:34.82,-10814,8125,-5525,-3162,-12555,16537,-28,-219,191,123
,141,2016/11/10 06:41:34.83,-10814,8125,-5525,-3162,-12555,16537,-28,-223,195,125
,142,2016/11/10 06:41:34.84,-10814,8125,-5525,-3162,-12555,16537,-14,-211,197,112
,143,2016/11/10 06:41:34.85,-10814,8125,-5525,-3162,-12555,16537,-23,-217,194,120
,144,2016/11/10 06:41:34.86,-10814,8125,-5525,-3162,-12555,16537,-16,-210,194,113
,145,2016/11/10 06:41:34.87,-10814,8125,-5525,-3162,-12555,16537,-24,-206,182,115
,146,2016/11/10 06:41:34.88,-10814,8125,-5525,-3162,-12555,16537,-22,-214,192,118
,147,2016/11/10 06:41:34.89,-10814,8125,-5525,-3162,-12555,16537,-19,-213,194,116
,148,2016/11/10 06:41:34.90,-10814,8125,-5525,-3162,-12555,16537,-28,-214,186,121
,149,2016/11/10 06:41:34.91,-10814,8125,-5525,-3162,-12555,16537,-20,-219,199,119
,150,2016/11/10 06:41:34.92,-10814,8125,-5525,-3162,-12555,16537,-23,-222,199,122
,151,2016/11/10 06:41:34.93,-10814,8125,-5525,-3162,-12555,16537,-29,-222,193,125
,152,2016/11/10 06:41:34.94,-10814,8125,-5525,-3162,-12555,16537,-15,-215,200,115
,153,2016/11/10 06:41:34.95,-10814,8125,-5525,-3162,-12555,16537,-23,-223,200,123
,154,2016/11/10 06:41:34.96,-10814,8125,-5525,-3162,-12555,16537,-24,-226,202,125
,155,2016/11/10 06:41:34.97,-10814,8125,-5525,-3162,-12555,16537,-32,-232,200,132
,156,2016/11/10 06:41:34.98,-10814,8125,-5525,-3162,-12555,16537,-32,-230,198,131
,157,2016/11/10 06:41:34.99,-10814,8125,-5525,-3162,-12555,16537,-26,-217,191,121
,158,2016/11/10 06:41:35.00,-10814,8125,-5525,-3162,-12555,16537,-24,-220,196,122
,159,2016/11/10 06:41:35.01,-10814,8125,-5525,-3162,-12555,16537,-15,-217,202,116
,160,2016/11/10 06:41:35.02,-10814,8125,-5525,-3162,-12555,16537,-22,-214,192,118
,161,2016/11/10 06:41:35.03,-10814,8125,-5525,-3162,-12555,16537,-25,-216,191,120
,162,2016/11/10 06:41:35.04,-10814,8125,-5525,-3162,-12555,16537,-24,-213,189,118
,163,2016/11/10 06:41:35.05,-10814,8125,-5525,-3162,-12555,16537,-35,-216,181,125
,164,2016/11/10 06:41:35.06,-10814,8125,-5525,-3162,-12555,16537,-21,-215,194,118
,165,2016/11/10 06:41:35.07,-10814,8125,-5525,-3162,-12555,16537,-20,-215,195,117
,166,2016/11/10 06:41:35.08,-10814,8125,-5525,-3162,-12555,16537,-23,-215,192,119
,167,2016/11/10 06:41:35.09,-10814,8125,-5525,-3162,-12555,16537,-17,-213,196,115
,168,2016/11/10 06:41:35.10,-10814,8125,-5525,-3162,-12555,16537,-32,-224,192,128
,169,2016/11/10 06:41:35.11,-10814,8125,-5525,-3162,-12555,16537,-50,-238,188,144
,170,2016/11/10 06:41:35.12,-10814,8125,-5525,-3162,-12555,16537,-76,-270,194,173
,171,2016/11/10 06:41:35.13,-10814,8125,-5525,-3162,-12555,16537,-100,-296,196,198
,172,2016/11/10 06:41:35.14,-10814,8125,-5525,-3162,-12555,16537,-106,-296,190,201
,173,2016/11/10 06:41:35.15,-10814,8125,-5525,-3162,-12555,16537,-101,-294,193,197
,174,2016/11/10 06:41:35.16,-10814,8125,-5525,-3162,-12555,16537,-82,-275,193,178
,175,2016/11/10 06:41:35.17,-10814,8125,-5525,-3162,-12555,16537,-80,-264,184,172
,176,2016/11/10 06:41:35.18,-10814,8125,-5525,-3162,-12555,16537,-75,-270,195,172
,177,2016/11/10 06:41:35.19,-10814,8125,-5525,-3162,-12555,16537,-70,-266,196,168
,178,2016/11/10 06:41:35.20,-10814,8125,-5525,-3162,-12555,16537,-76,-261,185,168
,179,2016/11/10 06:41:35.21,-10814,8125,-5525,-3162,-12555,16537,-63,-256,193,159
,180,2016/11/10 06:41:35.22,-10814,8125,-5525,-3162,-12555,16537,-61,-256,195,158
,181,2016/11/10 06:41:35.23,-10814,8125,-5525,-3162,-12555,16537,-61,-254,193,157
,182,2016/11/10 06:41:35.24,-10814,8125,-5525,-3162,-12555,16537,-47,-249,202,148
,183,2016/11/10 06:41:35.25,-10814,8125,-5525,-3162,-12555,16537,-54,-250,196,152
,184,2016/11/10 06:41:35.26,-10814,8125,-5525,-3162,-12555,16537,-52,-244,192,148
,185,2016/11/10 06:41:35.27,-10814,8125,-5525,-3162,-12555,16537,-49,-245,196,147
,186,2016/11/10 06:41:35.28,-10814,8125,-5525,-3162,-12555,16537,-46,-243,197,144
,187,2016/11/10 06:41:35.29,-10814,8125,-5525,-3162,-12555,16537,-46,-236,190,141
,188,2016/11/10 06:41:35.30,-10814,8125,-5525,-3162,-12555,16537,-50,-244,194,147
,189,2016/11/10 06:41:35.31,-10814,8125,-5525,-3162,-12555,16537,-44,-239,195,141
,190,2016/11/10 06:41:35.32,-10814,8125,-5525,-3162,-12555,16537,-44,-234,190,139
,191,2016/11/10 06:41:35.33,-10814,8125,-5525,-3162,-12555,16537,-42,-238,196,140
,192,2016/11/10 06:41:35.34,-10814,8125,-5525,-3162,-12555,16537,-38,-230,192,134
,193,2016/11/10 06:41:35.35,-10814,8125,-5525,-3162,-12555,16537,-46,-230,184,138
,194,2016/11/10 06:41:35.36,-10814,8125,-5525,-3162,-12555,16537,-31,-230,199,130
,195,2016/11/10 06:41:35.37,-10814,8125,-5525,-3162,-12555,16537,-30,-232,202,131
,196,2016/11/10 06:41:35.38,-10814,8125,-5525,-3162,-12555,16537,-40,-232,192,136
,197,2016/11/10 06:41:35.39,-10814,8125,-5525,-3162,-12555,16537,-27,-229,202,128
,198,2016/11/10 06:41:35.40,-10814,8125,-5525,-3162,-12555,16537,-29,-233,204,131
,199,2016/11/10 06:41:35.41,-10814,8125,-5525,-3162,-12555,16537,-26,-224,198,125
,200,2016/11/10 06:41:35.42,-10814,8125,-5525,-3162,-12555,16537,-28,-228,200,128
,201,2016/11/10 06:41:35.43,-10814,8125,-5525,-3162,-12555,16537,-28,-229,201,128
,202,2016/11/10 06:41:35.44,-10814,8125,-5525,-3162,-12555,16537,-28,-221,193,124
,203,2016/11/10 06:41:35.45,-10814,8125,-5525,-3162,-12555,16537,-32,-228,196,130
,204,2016/11/10 06:41:35.46,-10814,8125,-5525,-3162,-12555,16537,-30,-225,195,127
,205,2016/11/10 06:41:35.47,-10814,8125,-5525,-3162,-12555,16537,-32,-216,184,124
,206,2016/11/10 06:41:35.48,-10814,8125,-5525,-3162,-12555,16537,-29,-222,193,125
,207,2016/11/10 06:41:35.49,-10814,8125,-5525,-3162,-12555,16537,-26,-221,195,123
,208,2016/11/10 06:41:35.50,-10814,8125,-5525,-3162,-12555,16537,-39,-226,187,132
